Variable,N,Mean,Median,Std_Dev,Min,Q1,Q3,IQR,Max,Skewness
PQS,265,3.14,3.0,1.36,0.0,2.0,4.0,2.0,6.0,-0.27
PR_Size,261,1802.77,214.0,12171.44,0.0,46.0,754.0,708.0,182390.0,13.29
Log_PR_Size,261,5.17,5.37,2.06,0.0,3.85,6.63,2.78,12.11,-0.1
Exp_Author_Repo,261,58.69,10.0,123.73,0.0,1.0,58.0,57.0,788.0,3.66
Time_To_Event,261,13.9,4.0,27.85,1.0,1.0,13.0,12.0,204.0,4.17
Fraction_Adopted,89,29.77,19.71,25.04,1.63,12.9,36.84,23.94,100.0,1.34
