Family,Gate,Scenario,Specification,N,Term,Metric,Estimate,CI_Low,CI_High,p_value,Significant_0_05,Direction,Formatted
Prompt-length control,Gate 0,Add log(prompt_tokens),C/S/V + PR size + prompt length,215,Context,OR,2.3103813370165494,1.1796812582192802,4.5248340475391124,0.014614364347849603,True,positive,"2.31* [1.18, 4.52]"
Prompt-length control,Gate 0,Add log(prompt_tokens),C/S/V + PR size + prompt length,215,Specificity,OR,30014660648.98081,0.0,inf,0.9986100624812883,False,positive,"30014660648.98 [0.00, inf]"
Prompt-length control,Gate 0,Add log(prompt_tokens),C/S/V + PR size + prompt length,215,Verification,OR,0.8798449679257858,0.3964663629489542,1.9525670773840589,0.7529612480903124,False,negative,"0.88 [0.40, 1.95]"
Prompt-length control,Gate 0,Add log(prompt_tokens),C/S/V + PR size + prompt length,215,Log_PR_Size,OR,1.061330653853931,0.863403450721453,1.3046308256803736,0.571909930830127,False,positive,"1.06 [0.86, 1.30]"
Prompt-length control,Gate 0,Add log(prompt_tokens),C/S/V + PR size + prompt length,215,log_prompt_tokens,OR,4.312489840339723,0.45500106686642217,40.873681354450866,0.20276923462111685,False,positive,"4.31 [0.46, 40.87]"
Prompt-length control,Gate 1,Add log(prompt_tokens),C/S/V + PR size + prompt length,140,Context,OR,2.127180541597966,0.9036970417291242,5.00709512990673,0.0839658963116891,False,positive,"2.13 [0.90, 5.01]"
Prompt-length control,Gate 1,Add log(prompt_tokens),C/S/V + PR size + prompt length,140,Specificity,OR,0.5618655406673937,0.1966255847913329,1.6055534488275718,0.2818647915217759,False,negative,"0.56 [0.20, 1.61]"
Prompt-length control,Gate 1,Add log(prompt_tokens),C/S/V + PR size + prompt length,140,Verification,OR,6.8949160954920305,2.7854620922994373,17.067138732672632,2.977396556226838e-05,True,positive,"6.89*** [2.79, 17.07]"
Prompt-length control,Gate 1,Add log(prompt_tokens),C/S/V + PR size + prompt length,140,Log_PR_Size,OR,1.3604947311549151,1.074507190605558,1.7225998389616646,0.010563726498966938,True,positive,"1.36* [1.07, 1.72]"
Prompt-length control,Gate 1,Add log(prompt_tokens),C/S/V + PR size + prompt length,140,log_prompt_tokens,OR,18.078236575107198,1.8006093975461044,181.50668218823142,0.013904963375534355,True,positive,"18.08* [1.80, 181.51]"
Prompt-length control,Gate 2,Add log(prompt_tokens),C/S/V + PR size + prompt length,88,Context,AME,0.13231831982950654,-0.10024533162305146,0.36488197128206457,0.2647939127987422,False,positive,"0.132 [-0.100, 0.365]"
Prompt-length control,Gate 2,Add log(prompt_tokens),C/S/V + PR size + prompt length,88,Specificity,AME,-0.011245232711432457,-0.2558122421235946,0.2333217767007297,0.9281922713572405,False,negative,"-0.011 [-0.256, 0.233]"
Prompt-length control,Gate 2,Add log(prompt_tokens),C/S/V + PR size + prompt length,88,Verification,AME,-0.004067363613459334,-0.21449361860206942,0.20635889137515076,0.9697797989044425,False,negative,"-0.004 [-0.214, 0.206]"
Prompt-length control,Gate 2,Add log(prompt_tokens),C/S/V + PR size + prompt length,88,Log_PR_Size,AME,-0.03620480053373172,-0.09753650762800492,0.025126906560541482,0.24727689015069254,False,negative,"-0.036 [-0.098, 0.025]"
Prompt-length control,Gate 2,Add log(prompt_tokens),C/S/V + PR size + prompt length,88,log_prompt_tokens,AME,-0.05386578129726539,-0.539044411574758,0.4313128489802273,0.8277405895275163,False,negative,"-0.054 [-0.539, 0.431]"
