Family,Gate,Scenario,Specification,N,Term,Metric,Estimate,CI_Low,CI_High,p_value,Significant_0_05,Direction,Formatted
Aggregate PQS robustness,Gate 0,PQS only,PQS + PR size,218,PQS,OR,2.9443864168607647,2.1454022640178207,4.040925805475035,2.2956893731152405e-11,True,positive,"2.94*** [2.15, 4.04]"
Aggregate PQS robustness,Gate 0,PQS only,PQS + PR size,218,Log_PR_Size,OR,1.0501758012034348,0.8774454045949192,1.2569092135623252,0.5933557952729149,False,positive,"1.05 [0.88, 1.26]"
Aggregate PQS robustness,Gate 1,PQS only,PQS + PR size,141,PQS,OR,2.7013183873109265,1.7858338972721552,4.08611407856598,2.523392708174196e-06,True,positive,"2.70*** [1.79, 4.09]"
Aggregate PQS robustness,Gate 1,PQS only,PQS + PR size,141,Log_PR_Size,OR,1.3930092468632171,1.1202328705847107,1.732206590968526,0.0028725071181443618,True,positive,"1.39** [1.12, 1.73]"
Aggregate PQS robustness,Gate 2,PQS only,PQS + PR size,89,PQS,AME,0.01714070041438598,-0.07787665275955334,0.11215805358832528,0.7236621865272519,False,positive,"0.017 [-0.078, 0.112]"
Aggregate PQS robustness,Gate 2,PQS only,PQS + PR size,89,Log_PR_Size,AME,-0.037927922386169634,-0.0974744733112978,0.021618628538958535,0.21188800393442808,False,negative,"-0.038 [-0.097, 0.022]"
