Family,Gate,Scenario,Specification,N,Term,Metric,Estimate,CI_Low,CI_High,p_value,Significant_0_05,Direction,Formatted
Repository-level dependence,Gate 0,Repository-clustered SE,C/S/V + PR size,218,Context,OR,2.1430884320030463,1.0901961684790693,4.212845504486336,0.027078377684177833,True,positive,"2.14* [1.09, 4.21]"
Repository-level dependence,Gate 0,Repository-clustered SE,C/S/V + PR size,218,Specificity,OR,65.83838188055057,9.230535031337794,469.603605200876,2.9519820671674694e-05,True,positive,"65.84*** [9.23, 469.60]"
Repository-level dependence,Gate 0,Repository-clustered SE,C/S/V + PR size,218,Verification,OR,0.9038550570476692,0.41855315807147486,1.951852347536551,0.7969079399604614,False,negative,"0.90 [0.42, 1.95]"
Repository-level dependence,Gate 0,Repository-clustered SE,C/S/V + PR size,218,Log_PR_Size,OR,1.1154346785263725,0.9068351195778818,1.3720184575983185,0.3010537034723072,False,positive,"1.12 [0.91, 1.37]"
Repository-level dependence,Gate 1,Repository-clustered SE,C/S/V + PR size,141,Context,OR,2.218866345738509,1.002312507153077,4.912008804753995,0.04933780355839821,True,positive,"2.22* [1.00, 4.91]"
Repository-level dependence,Gate 1,Repository-clustered SE,C/S/V + PR size,141,Specificity,OR,0.7926249537817052,0.30010928564109596,2.0934184559313724,0.6390613721911643,False,negative,"0.79 [0.30, 2.09]"
Repository-level dependence,Gate 1,Repository-clustered SE,C/S/V + PR size,141,Verification,OR,8.45432467067809,3.5185822651977423,20.313751462968654,1.8172291021089842e-06,True,positive,"8.45*** [3.52, 20.31]"
Repository-level dependence,Gate 1,Repository-clustered SE,C/S/V + PR size,141,Log_PR_Size,OR,1.3613066053318919,1.066899349296605,1.7369545449081063,0.013108939195320007,True,positive,"1.36* [1.07, 1.74]"
Repository-level dependence,Gate 2,Repository-clustered SE,C/S/V + PR size,89,Context,AME,0.1289102701638945,0.021398661567100866,0.23642187876068815,0.018770030556526235,True,positive,"0.129* [0.021, 0.236]"
Repository-level dependence,Gate 2,Repository-clustered SE,C/S/V + PR size,89,Specificity,AME,-0.013878105730963012,-0.13515757300652204,0.10740136154459602,0.8225392547707394,False,negative,"-0.014 [-0.135, 0.107]"
Repository-level dependence,Gate 2,Repository-clustered SE,C/S/V + PR size,89,Verification,AME,-0.0084639398983055,-0.10961852920659361,0.09269064940998262,0.8697337530868171,False,negative,"-0.008 [-0.110, 0.093]"
Repository-level dependence,Gate 2,Repository-clustered SE,C/S/V + PR size,89,Log_PR_Size,AME,-0.037175722152636044,-0.0779630102366155,0.003611565931343413,0.07403187735058955,False,negative,"-0.037 [-0.078, 0.004]"
