Repository,Count
VOICEVOX/voicevox,10
open-learning-exchange/myplanet,8
UNLV-CS472-672/2024-S-GROUP3-Barbell,7
VOICEVOX/voicevox_core,5
darklang/dark,4
faker-js/faker,4
theta-limited/openathenaandroid,4
ggerganov/llama.cpp,3
pyspark-ai/pyspark-ai,3
pokt-network/poktroll,3
VOICEVOX/voicevox_engine,3
nishiki-tech/nishiki-frontend,3
GaloyMoney/galoy-mobile,3
UNLV-CS472-672/2024-S-GROUP1-Roadwatch,3
ubiquity/ubiquibot,2
BitBoxSwiss/bitbox-wallet-app,2
hackforla/CivicTechJobs,2
annuaire-entreprises-data-gouv-fr/site,2
viets-software-club/truffle-ai-backend,2
plausible/analytics,2
