PR_Language,Count
TypeScript,66
Python,39
Markdown,28
YAML,22
Go,15
JSON,14
XML,11
Java,9
JavaScript,9
C++,9
Ruby,9
Rust,5
Other,4
PHP,3
Kotlin,3
C,3
F#,3
Swift,2
TOML,1
Emacs Lisp,1
