Model,Variable,HR,CI_Low,CI_High,p_value,Formatted
Merge Hazard,Context (C),1.027332911923393,0.8097690748214057,1.303350479460788,0.8242366649450733,"1.03 [0.81, 1.30]"
Merge Hazard,Specificity (S),1.0307449195749787,0.7805410744563733,1.3611520572054303,0.8309688233774616,"1.03 [0.78, 1.36]"
Merge Hazard,Verification (V),0.8733913754327922,0.6600417347757713,1.1557034267530468,0.343471891568912,"0.87 [0.66, 1.16]"
Merge Hazard,Log(PR Size),0.9284538315298098,0.869348438894802,0.9915776905037917,0.02696464672548546,"0.93* [0.87, 0.99]"
Merge Hazard,Observations,256.0,,,,256
Close Hazard,Context (C),1.5980946555965314,0.8706083258517473,2.933473586698838,0.1303160265136628,"1.60 [0.87, 2.93]"
Close Hazard,Specificity (S),0.8755503241082316,0.47461441019852785,1.6151814053125166,0.6705504225939669,"0.88 [0.47, 1.62]"
Close Hazard,Verification (V),1.8406149685569317,1.0308935313369676,3.286336910158034,0.03912436089944564,"1.84* [1.03, 3.29]"
Close Hazard,Log(PR Size),0.8352320244619144,0.7274263233439657,0.9590146964710264,0.010663746091905438,"0.84* [0.73, 0.96]"
Close Hazard,Observations,256.0,,,,256
