Model,Variable,OR,CI_Low,CI_High,p_value,Formatted
(1) Baseline,Context (C),2.078118579284263,0.9208186983917587,4.689931728264192,0.07818307144577197,"2.08 [0.92, 4.69]"
(1) Baseline,Specificity (S),5.133765976558638,1.6790160322106344,15.697022897018252,0.004121196116986437,"5.13** [1.68, 15.70]"
(1) Baseline,Verification (V),3.326899729305647,1.405930098300718,7.872554846241416,0.0062339142145466315,"3.33** [1.41, 7.87]"
(1) Baseline,Observations,139.0,,,,139
(2) + PR Size,Context (C),2.009804066209931,0.8443733766378126,4.783798845764181,0.11464780256354731,"2.01 [0.84, 4.78]"
(2) + PR Size,Specificity (S),6.820537287433125,2.154998320700892,21.58689797685575,0.0010904700835589404,"6.82** [2.15, 21.59]"
(2) + PR Size,Verification (V),3.616421133546515,1.4318763286779415,9.133820814844606,0.006540426857173398,"3.62** [1.43, 9.13]"
(2) + PR Size,Log(PR Size),1.4727610753334015,1.1605251511855672,1.86900316878214,0.0014496372665742724,"1.47** [1.16, 1.87]"
(2) + PR Size,Observations,139.0,,,,139
