Gate,Scenario,Specification,N,Term,Metric,Estimate,CI_Low,CI_High,p_value,Formatted
Gate 0,Exclude extreme PR size,CSV dimensions,203,Context,OR,3.1159014852774116,1.7041266893839715,5.697253688024598,0.00022316565044558535,"3.12*** [1.70, 5.70]"
Gate 0,Exclude extreme PR size,CSV dimensions,203,Specificity,OR,5.892763829748215,2.7401394143333144,12.672590807441631,5.622453536193039e-06,"5.89*** [2.74, 12.67]"
Gate 0,Exclude extreme PR size,CSV dimensions,203,Verification,OR,1.0369747385359247,0.5055724882317225,2.126928647012913,0.9210910132653023,"1.04 [0.51, 2.13]"
Gate 0,Exclude extreme PR size,Aggregate PQS,203,PQS,OR,2.6702922019678432,1.9708290789537235,3.6180004243065564,2.328196902421316e-10,"2.67*** [1.97, 3.62]"
Gate 1,Exclude extreme PR size,CSV dimensions,132,Context,OR,2.0550139145117146,0.8404076175641827,5.02504035015394,0.11437100596104373,"2.06 [0.84, 5.03]"
Gate 1,Exclude extreme PR size,CSV dimensions,132,Specificity,OR,7.415906748733019,2.291882851941002,23.995848155732727,0.000824952823254924,"7.42*** [2.29, 24.00]"
Gate 1,Exclude extreme PR size,CSV dimensions,132,Verification,OR,3.29564962978327,1.2714405631689576,8.542520033512,0.014121904243691724,"3.30* [1.27, 8.54]"
Gate 1,Exclude extreme PR size,Aggregate PQS,132,PQS,OR,3.6772019261391673,2.320740543052531,5.826508286797111,2.9396334165964153e-08,"3.68*** [2.32, 5.83]"
Gate 2,Exclude extreme PR size,CSV dimensions,82,Context,AME,0.15705876102988967,0.04158082733795808,0.27253669472182124,0.0076817050744674206,"0.157** [0.042, 0.273]"
Gate 2,Exclude extreme PR size,CSV dimensions,82,Specificity,AME,-0.02746572674447942,-0.15154505662671605,0.09661360313775721,0.6643914755985441,"-0.027 [-0.152, 0.097]"
Gate 2,Exclude extreme PR size,CSV dimensions,82,Verification,AME,0.008779659265663752,-0.10378292684549581,0.12134224537682331,0.8784959628275116,"0.009 [-0.104, 0.121]"
Gate 2,Exclude extreme PR size,Aggregate PQS,82,PQS,AME,0.02456591064663713,-0.024666734682027805,0.07379855597530206,0.3280777624474035,"0.025 [-0.025, 0.074]"
