Gate,Scenario,Specification,N,Term,Metric,Estimate,CI_Low,CI_High,p_value,Formatted
Gate 0,Exclude dominant repository,CSV dimensions,204,Context,OR,2.793182154806266,1.5380109411601868,5.072698991362763,0.0007408365990612493,"2.79*** [1.54, 5.07]"
Gate 0,Exclude dominant repository,CSV dimensions,204,Specificity,OR,5.7760924842918,2.745132592957544,12.153600329792232,3.826633409856416e-06,"5.78*** [2.75, 12.15]"
Gate 0,Exclude dominant repository,CSV dimensions,204,Verification,OR,0.928022337217624,0.4606793813420439,1.8694682098989386,0.8344098901789314,"0.93 [0.46, 1.87]"
Gate 0,Exclude dominant repository,Aggregate PQS,204,PQS,OR,2.450145181700634,1.815836990665951,3.3060299147277417,4.558863879371956e-09,"2.45*** [1.82, 3.31]"
Gate 1,Exclude dominant repository,CSV dimensions,133,Context,OR,1.976213999656817,0.8230407959667597,4.745113233241629,0.12745939412377316,"1.98 [0.82, 4.75]"
Gate 1,Exclude dominant repository,CSV dimensions,133,Specificity,OR,6.483249405305865,2.042914618391843,20.574781967386542,0.001511939132605903,"6.48** [2.04, 20.57]"
Gate 1,Exclude dominant repository,CSV dimensions,133,Verification,OR,3.734072955983704,1.4715492489680204,9.475252595444662,0.00555276456735874,"3.73** [1.47, 9.48]"
Gate 1,Exclude dominant repository,Aggregate PQS,133,PQS,OR,3.6627694766596552,2.315555828976695,5.793805561180736,2.8781100712590234e-08,"3.66*** [2.32, 5.79]"
Gate 2,Exclude dominant repository,CSV dimensions,81,Context,AME,0.14315696730846786,0.027952108768627262,0.2583618258483084,0.014869004393417058,"0.143* [0.028, 0.258]"
Gate 2,Exclude dominant repository,CSV dimensions,81,Specificity,AME,-0.01704308962443532,-0.14516067621334208,0.11107449696447144,0.7942985784742984,"-0.017 [-0.145, 0.111]"
Gate 2,Exclude dominant repository,CSV dimensions,81,Verification,AME,-0.006541803359554073,-0.11845764428070096,0.1053740375615928,0.9087878245617684,"-0.007 [-0.118, 0.105]"
Gate 2,Exclude dominant repository,Aggregate PQS,81,PQS,AME,0.019722818778111724,-0.029347255398751732,0.06879289295497518,0.43082180380155977,"0.020 [-0.029, 0.069]"
