PR_Language,Count
TypeScript,67
Python,40
Markdown,30
YAML,22
JSON,15
Go,15
XML,11
JavaScript,11
Java,9
C++,9
Ruby,9
Rust,5
Other,4
C,4
PHP,3
Kotlin,3
F#,3
Swift,2
TOML,1
Emacs Lisp,1
