Language,Count
TypeScript,67
Python,40
Markdown,30
YAML,22
JSON,15
Go,15
XML,11
JavaScript,11
C++,9
Ruby,9
Java,9
Rust,5
Other,4
C,4
Unknown,4
Kotlin,3
F#,3
PHP,3
Swift,2
TOML,1
Emacs Lisp,1
C#,1
HTML,1
Svelte,1
SQL,1
Jupyter Notebook,1
