artifact,description,case_count,unique_cases
illustrative_examples_dataset.csv,Full canonical records for paper-referenced illustrative qualitative examples,6,5
illustrative_examples_summary.csv,Compact case-role mapping used for qualitative cross-reference,8,5
illustrative_examples_summary.md,Human-readable summary of selected qualitative examples,6,5
